,state_name,freq
0,Arizona,7
1,Arkansas,1
2,California,51
3,Colorado,5
4,District of Columbia,6
5,Florida,5
6,Georgia,2
7,Illinois,12
8,Maryland,11
9,Massachusetts,16
10,Michigan,1
11,Minnesota,2
12,New Hampshire,1
13,New Jersey,1
14,New Mexico,1
15,New York,3
16,North Carolina,3
17,Ohio,1
18,Oregon,5
19,Pennsylvania,5
20,Rhode Island,1
21,South Carolina,1
22,Tennessee,1
23,Texas,21
24,Utah,1
25,Virginia,12
26,Washington,23
27,Wisconsin,1
