event_id,action_id,round_id,buyer_offer_id,buyer_id,listing_id,property_id,agent_id,action_price,sales_price,original_list_price,final_listing_price,unit_sales_price,de_action_price,de_sales_price,de_unit_sales_price,de_original_list_price,de_final_listing_price,actor,action,multiple_buyers,multiple_buyers_adjusted,number_of_additional_offers,number_of_add_offers_adjusted,total_num_buyers_action,total_num_buyers_round,total_num_buyers_event,deal_status,censustract,property_latitude,property_longitude,property_type,num_bedrooms,num_bathrooms,approx_sq_ft,lot_sq_ft,financing_contingency_waived,inspection_contingency_waived,escalation_clause,preinspection,client_letter,year_built,deal_status_notes,walk_score,transit_score,bike_score,prob_offer_sub_date,listing_date,off_market_date,sales_date,offer_submitted_date,offer_accepted_date,action_date,zipcode,listing_year
82f7b0cd1cde06f6b3dbfe31d0462f79_2019-02-14,10,9,,,0926e8452f0ca17ea44a8e537b13cac8,82f7b0cd1cde06f6b3dbfe31d0462f79,,2399000,NA,2949000,2399000,NA,2050925.375,NA,NA,2521125,2050925.375,seller,seller_revise,,,NA,NA,NA,NA,1,,25017367200,42.33539581,-71.27373505,Single Family Residential,5,4,4772,61742,FALSE,FALSE,FALSE,FALSE,FALSE,1975,NA,3,NA,5,0,2019/2/13 23:59,2019/10/31,,2019/8/12 11:42,,2019/10/4,2493,2019
82f7b0cd1cde06f6b3dbfe31d0462f79_2019-02-14,8,7,,,0926e8452f0ca17ea44a8e537b13cac8,82f7b0cd1cde06f6b3dbfe31d0462f79,,2549000,NA,2949000,2399000,NA,2179161.75,NA,NA,2521125,2050925.375,seller,seller_revise,,,NA,NA,NA,NA,1,,25017367200,42.33539581,-71.27373505,Single Family Residential,5,4,4772,61742,FALSE,FALSE,FALSE,FALSE,FALSE,1975,NA,3,NA,5,0,2019/2/13 23:59,2019/10/31,,2019/8/12 11:42,,2019/8/15,2493,2019
82f7b0cd1cde06f6b3dbfe31d0462f79_2019-02-14,9,8,,,0926e8452f0ca17ea44a8e537b13cac8,82f7b0cd1cde06f6b3dbfe31d0462f79,,2499000,NA,2949000,2399000,NA,2136416.25,NA,NA,2521125,2050925.375,seller,seller_revise,,,NA,NA,NA,NA,1,,25017367200,42.33539581,-71.27373505,Single Family Residential,5,4,4772,61742,FALSE,FALSE,FALSE,FALSE,FALSE,1975,NA,3,NA,5,0,2019/2/13 23:59,2019/10/31,,2019/8/12 11:42,,2019/9/7,2493,2019
82f7b0cd1cde06f6b3dbfe31d0462f79_2019-02-14,2,2,,,0926e8452f0ca17ea44a8e537b13cac8,82f7b0cd1cde06f6b3dbfe31d0462f79,,2850000,NA,2949000,2399000,NA,2436489,NA,NA,2521125,2050925.375,seller,seller_revise,,,NA,NA,NA,NA,1,,25017367200,42.33539581,-71.27373505,Single Family Residential,5,4,4772,61742,FALSE,FALSE,FALSE,FALSE,FALSE,1975,NA,3,NA,5,0,2019/2/13 23:59,2019/10/31,,2019/8/12 11:42,,2019/3/20,2493,2019
82f7b0cd1cde06f6b3dbfe31d0462f79_2019-02-14,4,4,,,0926e8452f0ca17ea44a8e537b13cac8,82f7b0cd1cde06f6b3dbfe31d0462f79,,2699000,NA,2949000,2399000,NA,2307398,NA,NA,2521125,2050925.375,seller,seller_revise,,,NA,NA,NA,NA,1,,25017367200,42.33539581,-71.27373505,Single Family Residential,5,4,4772,61742,FALSE,FALSE,FALSE,FALSE,FALSE,1975,NA,3,NA,5,0,2019/2/13 23:59,2019/10/31,,2019/8/12 11:42,,2019/5/13,2493,2019
82f7b0cd1cde06f6b3dbfe31d0462f79_2019-02-14,5,5,,,0926e8452f0ca17ea44a8e537b13cac8,82f7b0cd1cde06f6b3dbfe31d0462f79,,2649000,NA,2949000,2399000,NA,2264652.5,NA,NA,2521125,2050925.375,seller,seller_revise,,,NA,NA,NA,NA,1,,25017367200,42.33539581,-71.27373505,Single Family Residential,5,4,4772,61742,FALSE,FALSE,FALSE,FALSE,FALSE,1975,NA,3,NA,5,0,2019/2/13 23:59,2019/10/31,,2019/8/12 11:42,,2019/7/6,2493,2019
82f7b0cd1cde06f6b3dbfe31d0462f79_2019-02-14,1,1,,,0926e8452f0ca17ea44a8e537b13cac8,82f7b0cd1cde06f6b3dbfe31d0462f79,,2949000,NA,2949000,2399000,NA,2521125,NA,NA,2521125,2050925.375,seller,seller_initialize,,,NA,NA,NA,NA,1,,25017367200,42.33539581,-71.27373505,Single Family Residential,5,4,4772,61742,FALSE,FALSE,FALSE,FALSE,FALSE,1975,NA,3,NA,5,0,2019/2/13 23:59,2019/10/31,,2019/8/12 11:42,,2019/2/13,2493,2019
888addf7bdab4f489ef7ef173bd07f93_2019-07-10,2,1,38d94f8aa712ca4b65b92d11a3fc348e,3f8907a1e7f6e44431888fa8e0d3300e,5d178ad454035bf168d1a8362d90a39e,888addf7bdab4f489ef7ef173bd07f93,a0340694826ab06bae7fe3167683c669,419000,419000,419900,419900,268.7620239,358206.6563,358206.6563,229.766922,358976.0625,358976.0625,buyer,buyer_offer,FALSE,FALSE,NA,0,1,1,1,Closed (Success),25009205100,42.48749161,-70.93598938,Single Family Residential,3,2,1559,4834,TRUE,FALSE,FALSE,FALSE,FALSE,1927,NA,39,29,20,0,2019/7/9 23:59,2019/8/2,2019/8/30 00:00,2019/7/18 16:14,2019/7/20 23:59,2019/7/18,1902,2019
888addf7bdab4f489ef7ef173bd07f93_2019-07-10,1,1,,,5d178ad454035bf168d1a8362d90a39e,888addf7bdab4f489ef7ef173bd07f93,,419900,419000,419900,419900,268.7620239,358976.0625,358206.6563,229.766922,358976.0625,358976.0625,seller,seller_initialize,,,NA,NA,NA,1,1,,25009205100,42.48749161,-70.93598938,Single Family Residential,3,2,1559,4834,TRUE,FALSE,FALSE,FALSE,FALSE,1927,NA,39,29,20,0,2019/7/9 23:59,2019/8/2,2019/8/30 00:00,2019/7/18 16:14,,2019/7/9,1902,2019
88c956121830e78975d2017f760901cf_2018-11-08,2,1,c48e426febb75ce10b244738fc20dd9b,a7a63fb2c558f1189f5c683fec94e1d9,7f5bbba589cafe5dcaa57c7709ff1587,88c956121830e78975d2017f760901cf,7101e4daaff4511510bbd4e6a0862fb7,395000,395000,4.00E+05,4.00E+05,176.0249481,343576.9688,337688.8438,150.4852142,347926.0313,347926.0313,buyer,buyer_offer,FALSE,FALSE,NA,0,1,1,1,Closed (Success),42017105507,40.2093544,-74.83287811,Single Family Residential,4,2.5,2244,15000,TRUE,FALSE,FALSE,FALSE,FALSE,1969,NA,14,NA,30,0,2018/11/8 00:00,2018/11/20,2019/2/13 00:00,2018/11/17 17:43,2018/11/20 00:00,2018/11/17,19067,2018
